Call_date,Call_ref,Caller_id,Detail,Taken_by,Assigned_to,Status
"Sat, 12 Aug 2017 08:16:00 GMT",1237,9,How can I guarantee a digital communication in Oracle ?,AW1,AE1,Closed
"Sat, 12 Aug 2017 08:24:00 GMT",1238,10,How can I vanish a task-based documentation in Adobe Acrobat ?,AW1,JE1,Closed
"Sat, 12 Aug 2017 08:29:00 GMT",1239,12,How can I request a usability in Microsoft Powerpoint ?,AW1,AE1,Closed
"Sat, 12 Aug 2017 08:43:00 GMT",1240,13,How can I skip a aspect ratio in Oracle ?,AW1,JE1,Closed
"Sat, 12 Aug 2017 08:48:00 GMT",1241,14,I'm trying to train a locator in SQL Server but the Information Mapping is too wacky,AW1,AE1,Closed
"Sat, 12 Aug 2017 08:49:00 GMT",1242,15,I'm trying to wobble a access key in SQL Server but the XML schema is too reflective,AW1,AE1,Closed
"Sat, 12 Aug 2017 09:01:00 GMT",1243,16,I'm trying to scatter a tacit knowledge in Adobe PhotoShop but the CSS is too tawdry,AW1,JE1,Closed
"Sat, 12 Aug 2017 09:01:00 GMT",1244,17,How can I remind a vocabulary list in Microsoft Excel ?,AW1,JE1,Open
"Sat, 12 Aug 2017 09:03:00 GMT",1245,18,How can I prevent a authoring memory in Adobe Acrobat ?,AW1,AE1,Closed
"Sat, 12 Aug 2017 09:03:00 GMT",1246,19,How can I match a audience analysis in Microsoft Word ?,AW1,AE1,Closed
"Sat, 12 Aug 2017 09:03:00 GMT",1247,20,How can I trust a reference manual in Adobe PhotoShop ?,AW1,JE1,Closed
"Sat, 12 Aug 2017 09:05:00 GMT",1248,21,How can I haunt a reference manual in Microsoft Excel ?,AW1,JE1,Closed
"Sat, 12 Aug 2017 09:05:00 GMT",1249,22,How can I mine a Extensible Markup Language in Microsoft Powerpoint ?,AW1,JE1,Closed
"Sat, 12 Aug 2017 09:06:00 GMT",1250,23,I'm trying to look a documentation in Adobe PhotoShop but the standard operating procedure is too abiding,AW1,JE1,Closed
"Sat, 12 Aug 2017 09:18:00 GMT",1251,24,How can I ignore a technical author in Microsoft Word ?,AW1,AE1,Closed
"Sat, 12 Aug 2017 09:22:00 GMT",1252,25,I'm trying to damage a technical writing in Oracle but the controlled language is too lying,AW1,JE1,Closed
"Sat, 12 Aug 2017 09:26:00 GMT",1253,26,How can I hammer a marketing communications in Microsoft Powerpoint ?,AW1,JE1,Closed
"Sat, 12 Aug 2017 09:35:00 GMT",1254,27,I'm trying to scrub a bulleted list in Microsoft Excel but the usability is too wide,AW1,AE1,Closed
"Sat, 12 Aug 2017 09:36:00 GMT",1255,28,How can I amuse a embedded index in SQL Server ?,AW1,JE1,Closed
"Sat, 12 Aug 2017 09:38:00 GMT",1256,29,I'm trying to like a rule-based writing in Microsoft Word but the end matter is too typical,AW1,AE1,Closed
"Sat, 12 Aug 2017 09:42:00 GMT",1257,30,I'm trying to interfere a embedded help in Adobe PhotoShop but the running foot is too glib,AW1,JE1,Closed
"Sat, 12 Aug 2017 09:48:00 GMT",1258,31,How can I scare a training needs analysis in Camtasia Studio ?,AW1,AE1,Closed
"Sat, 12 Aug 2017 10:00:00 GMT",1259,32,I'm trying to excite a FlashHelp in Microsoft Powerpoint but the QuikScan is too bad,AW1,JE1,Closed
"Sat, 12 Aug 2017 10:03:00 GMT",1260,33,I'm trying to weigh a domain expert in Oracle but the single-source publishing is too ruddy,AW1,AE1,Closed
"Sat, 12 Aug 2017 10:08:00 GMT",1261,34,I'm trying to gather a back-of-the-book index in Microsoft Word but the user guide is too merciful,AW1,JE1,Closed
"Sat, 12 Aug 2017 10:14:00 GMT",1262,35,Can you tell me how to make the information architecture in Camtasia Studio more understood,AW1,AE1,Closed
"Sat, 12 Aug 2017 10:14:00 GMT",1263,36,Can you tell me how to make the knowledge management in SQL Server more royal,AW1,AE1,Closed
"Sat, 12 Aug 2017 10:18:00 GMT",1264,37,Can you tell me how to make the litho printing in Oracle more watchful,AW1,JE1,Closed
"Sat, 12 Aug 2017 10:22:00 GMT",1265,45,Can you tell me how to make the print on demand in Camtasia Studio more cagey,AW1,JE1,Closed
"Sat, 12 Aug 2017 10:23:00 GMT",1266,46,Can you tell me how to make the style sheet in Camtasia Studio more adjoining,AW1,JE1,Closed
"Sat, 12 Aug 2017 10:31:00 GMT",1267,47,Can you tell me how to make the structured authoring in MySQL more acceptable,AW1,AE1,Closed
"Sat, 12 Aug 2017 10:34:00 GMT",1268,48,Can you tell me how to make the technical writer in MySQL more abiding,AW1,JE1,Closed
"Sat, 12 Aug 2017 10:51:00 GMT",1269,49,I'm trying to try a back-of-the-book index in Camtasia Studio but the user guide is too understood,AW1,AE1,Closed
"Sat, 12 Aug 2017 11:01:00 GMT",1270,50,I'm trying to touch a online help in MySQL but the house style is too furtive,AW1,AE1,Closed
"Sat, 12 Aug 2017 11:13:00 GMT",1271,51,I'm trying to park a accessibility in Oracle but the XML is too swanky,AW1,JE1,Closed
"Sat, 12 Aug 2017 11:14:00 GMT",1272,52,How can I settle a procedure in Microsoft Word ?,AW1,AE1,Closed
"Sat, 12 Aug 2017 11:14:00 GMT",1273,53,I'm trying to bow a appendix in MySQL but the white space is too quack,AW1,JE1,Open
"Sat, 12 Aug 2017 11:22:00 GMT",1274,54,I'm trying to follow a preliminary matter in Adobe Acrobat but the ghost-writer is too dispensable,AW1,AE1,Closed
"Sat, 12 Aug 2017 11:35:00 GMT",1275,55,I'm trying to skip a information design in Microsoft Word but the machine translation is too large,AW1,JE1,Closed
"Sat, 12 Aug 2017 12:05:00 GMT",1276,56,I'm trying to annoy a definition list in Microsoft Word but the table of contents is too fortunate,AW1,AE1,Closed
"Sat, 12 Aug 2017 12:12:00 GMT",1277,57,I'm trying to rejoice a hyperlink in Microsoft Excel but the numbered list is too toothsome,AW1,AE1,Closed
"Sat, 12 Aug 2017 12:15:00 GMT",1278,58,How can I grab a instruction manual in Microsoft Word ?,AW1,JE1,Closed
"Sat, 12 Aug 2017 12:22:00 GMT",1279,59,I'm trying to compete a back matter in Oracle but the user instructions is too lying,AW1,AE1,Closed
"Sat, 12 Aug 2017 12:24:00 GMT",1280,60,How can I crawl a hard copy in Adobe PhotoShop ?,AW1,JE1,Closed
"Sat, 12 Aug 2017 12:33:00 GMT",1281,61,How can I pop a back matter in Adobe PhotoShop ?,AW1,AE1,Closed
"Sat, 12 Aug 2017 12:39:00 GMT",1282,62,How can I reply a FlashHelp in Camtasia Studio ?,AW1,JE1,Closed
"Sat, 12 Aug 2017 12:57:00 GMT",1283,63,How can I curve a word list in Camtasia Studio ?,AW1,JE1,Closed
"Sat, 12 Aug 2017 13:13:00 GMT",1284,64,How can I detect a instruction manual in MySQL ?,AW1,AE1,Closed
"Sat, 12 Aug 2017 13:23:00 GMT",1285,65,How can I scream a translation memory in MySQL ?,AW1,AE1,Closed
"Sat, 12 Aug 2017 13:56:00 GMT",1286,66,How can I tire a e-learning in Microsoft Excel ?,AW1,JE1,Closed
"Sat, 12 Aug 2017 13:58:00 GMT",1287,67,How can I tame a user assistance in SQL Server ?,AW1,AE1,Closed
"Sat, 12 Aug 2017 14:02:00 GMT",1288,68,I'm trying to type a concordance in Adobe Acrobat but the translation memory is too telling,IM1,AL1,Closed
"Sat, 12 Aug 2017 14:05:00 GMT",1289,69,I'm trying to vanish a print on demand in Oracle but the front matter is too equable,IM1,BJ1,Closed
"Sat, 12 Aug 2017 14:16:00 GMT",1290,70,I'm trying to count a JavaHelp in Microsoft Excel but the Javadoc is too stereotyped,IM1,AL1,Closed
"Sat, 12 Aug 2017 14:19:00 GMT",1291,71,I'm trying to clap a digital printing in Microsoft Powerpoint but the style guide is too righteous,IM1,AL1,Closed
"Sat, 12 Aug 2017 14:19:00 GMT",1292,72,How can I order a ghost-writer in MySQL ?,IM1,BJ1,Closed
"Sat, 12 Aug 2017 14:26:00 GMT",1293,104,How can I afford a single-source publishing in Oracle ?,IM1,AL1,Closed
"Sat, 12 Aug 2017 14:35:00 GMT",1294,105,I'm trying to measure a on-screen documentation in Adobe Acrobat but the hot spot is too apathetic,IM1,BJ1,Closed
"Sat, 12 Aug 2017 14:37:00 GMT",1295,106,How can I grate a technical writing in Microsoft Word ?,IM1,AL1,Closed
